"q","alfa","образец","Kq","ro пара","ню жидк","r","lo","g","ro жидк","сигма","высота h","зазор D","зазор u","толщина d","толщина s","угол","угол/90","h/lo","D/lo","d/lo","u/lo","s/lo","жидкость","алфа Кутател","а/а гл","ср ж","лямбда ж","Pr","cp пара","лямбда п","ню пара","а ж","Р","алфа  Лабунцов","Ts","alf/alf0","алфа Боришан","Ткр","Ркр","алф/алф0","М",""
"14000","1300","гладкая","30.713450602806","1.104","5.1E-7","2520000","0.0031127222209327","9.81","605","0.0574","","","","","","","","","","","","","60% глицерин","988.13734357715","1.3156065889524","3840","0.48","2.4684","","","","1.2E-7","101,325","1374.0988817508","381","0.94607456367596","2180.8932288158","538","16360000","0.5960860361357","47.6",""
"21000","1750","гладкая","46.070175904209","1.104","5.1E-7","2520000","0.0031127222209327","9.81","605","0.0574","","","","","","","","","","","","","60% глицерин","1312.4452449735","1.3333889598079","3840","0.48","2.4684","","","","1.2E-7","101,325","1800.5789095702","381","0.97190964011552","2857.7785805537","538","16360000","0.61236374711049","47.6",""
"40000","2500","гладкая","87.752716008017","1.104","5.1E-7","2520000","0.0031127222209327","9.81","605","0.0574","","","","","","","","","","","","","60% глицерин","2060.4860631849","1.213305949828","3840","0.48","2.4684","","","","1.2E-7","101,325","2766.7672305983","381","0.90358161407722","4391.2588817722","538","16360000","0.56931282516213","47.6",""
"68000","4150","гладкая","149.17961721363","1.104","5.1E-7","2520000","0.0031127222209327","9.81","605","0.0574","","","","","","","","","","","","","60% глицерин","2987.3349943479","1.389198067124","3840","0.48","2.4684","","","","1.2E-7","101,325","3940.9891348545","381","1.0530351284902","6254.9185020003","538","16360000","0.66347786924368","47.6",""
"96000","5000","гладкая","210.60651841924","1.104","5.1E-7","2520000","0.0031127222209327","9.81","605","0.0574","","","","","","","","","","","","","60% глицерин","3802.923161819","1.3147780765595","3840","0.48","2.4684","","","","1.2E-7","101,325","4959.6015199289","381","1.0081455092529","7871.603358454","538","16360000","0.63519460677983","47.6",""
"220000","11500","гладкая","482.63993804409","1.104","5.1E-7","2520000","0.0031127222209327","9.81","605","0.0574","","","","","","","","","","","","","60% глицерин","6795.5335978843","1.6922880056955","3840","0.48","2.4684","","","","1.2E-7","101,325","8620.8035711498","381","1.3339823724189","13682.459381174","538","16360000","0.84049217173801","47.6",""
"290000","14000","гладкая","636.20719105812","1.104","5.1E-7","2520000","0.0031127222209327","9.81","605","0.0574","","","","","","","","","","","","","60% глицерин","8245.2966618087","1.6979376939639","3840","0.48","2.4684","","","","1.2E-7","101,325","10364.092831739","381","1.3508176959904","16449.311021022","538","16360000","0.85109947657431","47.6",""
"5000","400","гладкая","","8","3.23E-7","146120","0.0010383357548069","9.81","1510","0.015886","","","","","","","","","","","","","Фреон R113","265.47252214057","1.5067472775514","996.5","0.0661","7.35","","","","4.39E-8","101,325","396.57539890949","320","1.0086354350268","700.87065392483","487","3400000","0.57071871644222","187.37",""
"10000","750","гладкая","","8","3.23E-7","146120","0.0010383357548069","9.81","1510","0.015886","","","","","","","","","","","","","Фреон R113","431.26138455082","1.7390845247625","996.5","0.0661","7.35","","","","4.39E-8","101,325","629.52420541363","320","1.1913759527439","1112.5628133339","487","3400000","0.67411924163863","187.37",""
"14500","950","гладкая","","8","3.23E-7","146120","0.0010383357548069","9.81","1510","0.015886","","","","","","","","","","","","","Фреон R113","559.36871681598","1.6983430989984","996.5","0.0661","7.35","","","","4.39E-8","101,325","806.47535745471","320","1.1779653168799","1425.2899012592","487","3400000","0.66653106793269","187.37",""
"20000","1050","гладкая","","8","3.23E-7","146120","0.0010383357548069","9.81","1510","0.015886","","","","","","","","","","","","","Фреон R113","700.58618611462","1.4987449378972","996.5","0.0661","7.35","","","","4.39E-8","101,325","999.30738591304","320","1.0507277488404","1766.083380267","487","3400000","0.59453591587577","187.37",""
"27500","1400","гладкая","","8","3.23E-7","146120","0.0010383357548069","9.81","1510","0.015886","","","","","","","","","","","","","Фреон R113","875.53489235099","1.5990225086755","996.5","0.0661","7.35","","","","4.39E-8","101,325","1235.6654283525","320","1.1329927728629","2183.8007077172","487","3400000","0.64108414062357","187.37",""
"36500","1950","гладкая","","8","3.23E-7","146120","0.0010383357548069","9.81","1510","0.015886","","","","","","","","","","","","","Фреон R113","1067.4451737207","1.8267917154031","996.5","0.0661","7.35","","","","4.39E-8","101,325","1492.3625535717","320","1.3066529948322","2637.4634475334","487","3400000","0.73934673931639","187.37",""
"41500","2150","гладкая","","8","3.23E-7","146120","0.0010383357548069","9.81","1510","0.015886","","","","","","","","","","","","","Фреон R113","1167.8155144147","1.8410442175685","996.5","0.0661","7.35","","","","4.39E-8","101,325","1625.7153187325","320","1.3224947659817","2873.1387818529","487","3400000","0.74831052839481","187.37",""
"5906.9697","6628.75769","10","37.135239177803","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","1019.1934502425","6.5039249304663","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","1094.1770379216","373","6.0582131229802","1318.5188375126","647","21830000","5.0274273688082","18",""
"12600","14268.56659","10","79.212191259474","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","1732.0510391733","8.2379596601325","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","1813.112691406","373","7.8696523705516","2184.8596299306","647","21830000","6.5306559719138","18",""
"30894.54545","27433.53791","10","194.22417802063","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","3245.0289133782","8.4540195610893","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","3296.8483776889","373","8.3211403034648","3972.8092801718","647","21830000","6.9053246645692","18",""
"68888.48485","51230.63312","10","433.07998710425","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","5688.5810059922","9.0058721262887","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","5626.9819631131","373","9.1044601628075","6780.6958650874","647","21830000","7.5553651335076","18",""
"108847.27273","67648.02664","10","684.28817345722","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","7835.624042764","8.633393622614","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","7633.4840481691","373","8.8620119218335","9198.5959899886","647","21830000","7.3541686920075","18",""
"182431.81818","78697.10262","10","1146.8907994832","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","11247.906936174","6.9965997288712","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","10770.72222012","373","7.3065761990403","12979.069792782","647","21830000","6.0633854256464","18",""
"226998.48485","78495.65415","10","1427.0672537737","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","13107.424799458","5.9886404347897","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","12460.239979316","373","6.2996903976412","15014.993518657","647","21830000","5.2278180508347","18",""
"325265.15152","86481.25163","10","2044.838523194","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","16860.388561413","5.1292561446611","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","15836.873892664","373","5.4607526849133","19083.946958395","647","21830000","4.5316229299178","18",""
"354293.33333","91219.75032","10","2227.329466801","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","17900.097234883","5.0960477545472","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","16765.625260089","373","5.440879711009","20203.12249478","647","21830000","4.5151312795123","18",""
"436180.90909","114571.74928","10","2742.1306027435","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","180","140","170","178","90","1","0.16780756478777","0.071917527766185","0.067922109556953","0.055935854929255","0.071118444124339","вода","20704.653230592","5.5336231910765","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","19258.488711397","373","5.9491557721347","23207.103848784","647","21830000","4.9369257804223","18",""
"25011.92308","65295.05809","15","157.24200276033","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","2799.0087939426","23.327921738333","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","2863.7987206966","373","22.80015617652","3450.970390729","647","21830000","18.920781895265","18",""
"70036.15385","75863.19184","15","440.29501697176","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","5754.7558821591","13.182695042754","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","5689.3060027504","373","13.334349005542","6855.7983553093","647","21830000","11.065551801308","18",""
"110973.07692","93009.98728","15","697.65242806662","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","7942.4345243218","11.710513570515","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","7732.552066672","373","12.028368703895","9317.9761671117","647","21830000","9.9817799071308","18",""
"166269.23077","95956.08581","15","1045.2817546285","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","10540.704177977","9.1033847634663","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","10124.782275008","373","9.477348075608","12200.691197716","647","21830000","7.8648073502562","18",""
"223405.19231","106259.12179","15","1404.4773667952","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","12961.8379537","8.1978437139517","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","12328.396955552","373","8.6190542187356","14856.118396623","647","21830000","7.1525494717487","18",""
"301208.46154","132570.22579","15","1893.6017670221","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","15977.481426867","8.2973168453869","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","15046.051583026","373","8.8109644619028","18130.980412539","647","21830000","7.3118067955285","18",""
"398276.92308","141682.99781","15","2503.8403020038","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","19428.125675795","7.2926745572024","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","18125.967487525","373","7.8165757445783","21842.379022905","647","21830000","6.4866101655605","18",""
"485453.84615","172695.3088","15","3051.8938816572","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","22315.409779628","7.7388365486194","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","20682.819029382","373","8.3496987791976","24923.468102481","647","21830000","6.9290240062061","18",""
"550673.07692","203122.26182","15","3461.9064357484","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","24374.010535616","8.3335592853375","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","22496.087730605","373","9.0292260704362","27108.515729303","647","21830000","7.4929318834094","18",""
"621046.92308","218237.77835","15","3904.324416835","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","26514.802342219","8.2307903160382","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","24374.032026307","373","8.9537003198507","29371.499546242","647","21830000","7.4302565998174","18",""
"688581.73077","241969.71525","15","4328.8942663122","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","28501.659737553","8.4896710394442","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","26110.47455264","373","9.2671511872439","31463.969139259","647","21830000","7.6903747959785","18",""
"772798.07692","271563.59553","15","4858.335640789","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","340","70","140","170","178","75","0.83333333333333","0.13584421911391","0.027967927464628","0.067922109556953","0.055935854929255","0.071118444124339","вода","30899.220726763","8.7886875184135","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","28198.226171611","373","9.6305205113716","33979.777589132","647","21830000","7.9919179817367","18",""
"2243.3981","2016.81568","17","14.103530108599","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","517.5302590233","3.8970005035187","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","573.82834848179","373","3.5146672089938","691.48178105545","647","21830000","2.9166577272963","18",""
"5046.78826","4211.64344","17","31.727552134698","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","912.87615415966","4.613597825739","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","985.19263656577","373","4.2749440908137","1187.1890972581","647","21830000","3.5475759082753","18",""
"9278.35052","7023.41028","17","58.330037774816","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","1398.0762129093","5.0236247603303","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","1478.5123324971","373","4.7503224191156","1781.6553394277","647","21830000","3.9420701212929","18",""
"14165.10706","10246.47823","17","89.051521400607","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","1879.9885609164","5.4502875405824","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","1960.3081341186","373","5.2269732761206","2362.2349149954","647","21830000","4.3376203462897","18",""
"20927.97383","13359.39089","17","131.56751315042","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","2470.6449147241","5.4072484517638","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","2542.8996587144","373","5.2536052078256","3064.2766076395","647","21830000","4.3597209392565","18",""
"37458.36638","19866.09462","17","235.48883190159","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","3713.517604249","5.3496702418401","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","3748.6680948643","373","5.2995074829956","4517.2667012368","647","21830000","4.3978130878482","18",""
"47509.318","22821.3707","17","298.67596698597","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","4385.7761462079","5.2034964711394","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","4392.3502638128","373","5.1957082949459","5292.9246027605","647","21830000","4.3116750025303","18",""
"58420.69786","24714.59825","17","367.27234066653","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","5068.716744636","4.8759083403417","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","5041.4515148341","373","4.902278277849","6075.1126740348","647","21830000","4.0681711724674","18",""
"70113.00555","27128.71119","17","440.77815915898","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","5759.1754996194","4.7105199679699","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","5693.4672146331","373","4.7648840622591","6860.8127506623","647","21830000","3.954154147026","18",""
"85289.33386","28891.42722","17","536.18690683424","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","6605.8332938569","4.3736234226298","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","6487.9513216856","373","4.4530893940946","7818.1918812305","647","21830000","3.6954103530461","18",""
"97954.7383","30522.26281","17","615.81027499931","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","7278.1184258268","4.1937024137571","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","7115.3248665802","373","4.2896513345946","8574.1973615429","647","21830000","3.5597807611589","18",""
"114214.9088","33183.25058","17","718.03279369437","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","8104.1461031767","4.0946017208392","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","7882.4211065271","373","4.209778966582","9498.5732234932","647","21830000","3.4934984233134","18",""
"131220.2617","35357.40571","17","824.94003705545","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","420","205","120","145","200","70","0.77777777777778","0.16780756478777","0.081906073289266","0.057933564033871","0.04794501851079","0.07990836418465","вода","8931.0379244263","3.958935793263","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","8646.5933425644","373","4.0891718054956","10419.425565847","647","21830000","3.3934121882781","18",""
